name,gender,gender_probability,age,country_id,country_name,country_probability
Fatima Mensah 107746902,male,0.6149,17,US,United States,0.9537
Chidi Okafor 108266084,female,0.9027,14,DE,Germany,0.6546
Ngozi Adeyemi 109516539,male,0.7136,18,FR,France,0.5507
Luis Patel 110207376,male,0.9406,49,FR,France,0.5692
Hassan Mensah 111869411,male,0.7374,5,US,United States,0.699
Aisha Patel 112959527,male,0.6786,37,IN,India,0.8981
Ngozi Diallo 113878394,male,0.7295,83,US,United States,0.6048
Amara Mensah 114530636,female,0.8836,10,FR,France,0.5847
Ngozi Oliveira 115929906,female,0.6165,57,IN,India,0.9328
Fatima Okafor 116126390,male,0.931,18,KE,Kenya,0.8484
Kofi Suleiman 117332901,female,0.7731,47,IN,India,0.5838
Zara Oliveira 118294184,male,0.9022,33,FR,France,0.8598
Hassan Patel 119752217,male,0.9773,87,IN,India,0.9841
Kofi Adeyemi 120705385,female,0.6875,65,KE,Kenya,0.9835
Fatima Suleiman 121445130,male,0.7553,39,GH,Ghana,0.8655
Hassan Oliveira 122194901,female,0.9424,16,FR,France,0.8933
Ola Miller 123826513,male,0.9645,41,KE,Kenya,0.6492
Hassan Oliveira 124768580,male,0.9672,75,FR,France,0.6178
Amara Kamara 125085632,female,0.6822,83,DE,Germany,0.8017
Fatima Diallo 126426377,female,0.6285,58,GB,United Kingdom,0.5764
Zara Thomas 127141098,male,0.8008,47,GB,United Kingdom,0.5967
Kofi Thomas 128948403,female,0.8812,73,KE,Kenya,0.6335
Fatima Oliveira 129864584,male,0.7376,74,ZA,South Africa,0.5722
Ola Adeyemi 130323458,female,0.6176,46,US,United States,0.5725
Ngozi Suleiman 131971550,male,0.9803,16,DE,Germany,0.7233
Ola Mensah 132361972,female,0.7782,66,US,United States,0.8168
Aisha Patel 133314388,female,0.8195,90,FR,France,0.759
Amara Oliveira 134204577,female,0.9772,33,DE,Germany,0.8945
Aisha Thomas 135316479,male,0.9698,73,ZA,South Africa,0.5984
Hassan Thomas 136531933,male,0.6809,66,NG,Nigeria,0.693
Vikram Adeyemi 137997764,female,0.9734,24,EG,Egypt,0.6728
Luis Diallo 138898227,female,0.6475,36,FR,France,0.8477
Vikram Suleiman 139616526,female,0.6835,61,IN,India,0.9143
Chidi Kamara 140705949,male,0.7612,12,ZA,South Africa,0.8656
Chidi Kamara 141557991,male,0.7253,36,IN,India,0.8342
Valentina Miller 142805192,male,0.9073,50,KE,Kenya,0.632
Zara Kumar 143376703,female,0.9319,17,FR,France,0.7559
Luis Suleiman 144340949,male,0.9339,78,XXX,XXX,0.9447
Valentina Oliveira 145066013,female,0.9721,34,ZA,South Africa,0.6829
Vikram Patel 146621176,female,0.6458,88,FR,France,0.9531
Zara Kamara 147780470,female,0.9128,68,FR,France,0.9133
Ola Thomas 148125058,male,0.8093,73,NG,Nigeria,0.6224
Hassan Miller 149738750,female,0.8199,58,FR,France,0.7959
Vikram Diallo 150116793,male,0.9846,8,GH,Ghana,0.7577
Ola Mensah 151631557,female,0.6313,48,IN,India,0.9742
Luis Suleiman 152324118,male,0.7806,38,NG,Nigeria,0.8664
Aisha Adeyemi 153210570,female,0.8988,78,NG,Nigeria,0.9389
Aisha Mensah 154528735,female,0.8105,29,GB,United Kingdom,0.8819
Ola Adeyemi 155425571,male,0.9417,38,US,United States,0.9837
Hassan Diallo 156734137,female,0.9792,6,FR,France,0.9643
Aisha Suleiman 157445323,female,0.6563,90,ZA,South Africa,0.7537
Aisha Miller 158360085,female,0.8089,11,IN,India,0.9149
Aisha Adeyemi 159991942,female,0.9391,26,ZA,South Africa,0.6965
Luis Thomas 160532540,female,0.8153,30,ZA,South Africa,0.8912
Amara Adeyemi 161705572,female,0.7446,26,IN,India,0.7321
Hassan Kamara 162374774,female,0.925,72,ZA,South Africa,0.7697
Ola Kamara 163958080,male,0.8809,-5,US,United States,0.7649
Fatima Patel 164069960,male,0.6589,90,ZA,South Africa,0.6462
Vikram Okafor 165564919,male,0.8065,2,GB,United Kingdom,0.6709
Vikram Diallo 166094262,male,0.8053,79,ZA,South Africa,0.9087
Fatima Okafor 167670863,male,0.7581,11,GH,Ghana,0.716
Amara Thomas 168296256,male,0.6825,29,GH,Ghana,0.932
Valentina Diallo 169925586,male,0.8289,26,US,United States,0.881
Ngozi Okafor 170020665,male,0.8824,88,GB,United Kingdom,0.7703
Fatima Adeyemi 171394660,male,0.7066,81,US,United States,0.9867
Hassan Mensah 172731033,male,0.7045,10,ZA,South Africa,0.7172
Ola Diallo 173105578,male,0.7681,23,XXX,XXX,0.7951
Amara Suleiman 174131340,male,0.953,71,GB,United Kingdom,0.9804
Zara Kamara 175464103,female,0.9052,61,GB,United Kingdom,0.7089
Hassan Oliveira 176139239,female,0.7305,56,GB,United Kingdom,0.9088
Vikram Diallo 177391917,female,0.905,73,EG,Egypt,0.6934
Chidi Diallo 178613214,male,0.9111,56,IN,India,0.9158
Valentina Diallo 179573856,female,0.7563,74,IN,India,0.7729
Hassan Kamara 180693710,female,0.8523,21,ZA,South Africa,0.5695
Hassan Oliveira 181619429,male,0.7459,57,FR,France,0.7537
Ola Thomas 182307400,female,0.7338,39,KE,Kenya,0.8951
Valentina Adeyemi 183553447,female,0.6427,82,NG,Nigeria,0.902
Zara Thomas 184537278,female,0.6114,50,KE,Kenya,0.8202
Vikram Kamara 185856565,male,0.7271,46,GH,Ghana,0.7513
Amara Oliveira 186011316,male,0.8753,86,IN,India,0.6809
Hassan Suleiman 187669541,male,0.7496,73,GB,United Kingdom,0.6317
Zara Diallo 188954648,male,0.9712,45,IN,India,0.7632
Ola Miller 189147751,male,0.7139,28,GH,Ghana,0.6709
Valentina Thomas 190591872,female,0.9208,69,FR,France,0.5683
Chidi Adeyemi 191276864,female,0.9363,44,IN,India,0.5883
Amara Suleiman 192192595,male,0.8223,7,ZA,South Africa,0.7842
Hassan Mensah 193711328,male,0.9583,52,GH,Ghana,0.9867
Hassan Kumar 194476844,female,0.7615,80,KE,Kenya,0.7489
Chidi Suleiman 195398432,female,0.859,81,GH,Ghana,0.7076
Aisha Kumar 196680914,female,0.9487,43,KE,Kenya,0.8854
Vikram Mensah 197880306,male,0.9547,88,GB,United Kingdom,0.9381
Zara Diallo 198670412,female,0.7191,80,NG,Nigeria,0.8578
Luis Mensah 199420813,male,0.734,89,NG,Nigeria,0.6031
Ola Oliveira 200064761,male,0.9872,82,GB,United Kingdom,0.6129
Chidi Oliveira 201734726,male,0.9497,11,IN,India,0.6116
Vikram Adeyemi 202557208,female,0.6105,88,DE,Germany,0.9227
Chidi Suleiman 203803338,female,0.694,14,IN,India,0.8308
Aisha Oliveira 204020075,male,0.9722,60,FR,France,0.889
Ola Suleiman 205623528,female,0.8737,54,FR,France,0.5863
Zara Okafor 206291606,male,0.8725,39,GB,United Kingdom,0.8712
Kofi Thomas 207957711,male,0.8761,1,KE,Kenya,0.8587
Ola Kumar 208296450,male,0.7307,3,EG,Egypt,0.7389
Amara Kamara 209725082,female,0.6995,20,KE,Kenya,0.5953
Ola Kamara 210434720,male,0.9632,22,GB,United Kingdom,0.9273
Aisha Diallo 211042835,male,0.687,-5,FR,France,0.7769
Fatima Adeyemi 212757190,female,0.6946,79,EG,Egypt,0.712
Valentina Miller 213152409,female,0.896,0,NG,Nigeria,0.7156
Valentina Patel 214475563,male,0.9499,29,GH,Ghana,0.7787
Vikram Patel 215938342,female,0.976,84,NG,Nigeria,0.6542
Ngozi Diallo 216137448,male,0.6412,19,KE,Kenya,0.7478
Chidi Adeyemi 217930281,male,0.926,27,EG,Egypt,0.6942
Kofi Kumar 218089183,male,0.7802,12,IN,India,0.9037
Hassan Thomas 219808819,female,0.6085,9,GH,Ghana,0.5784
Luis Mensah 220392416,female,0.7935,50,DE,Germany,0.7184
Chidi Miller 221346729,female,0.9443,52,EG,Egypt,0.7608
Ngozi Oliveira 222531328,female,0.7871,45,NG,Nigeria,0.8938
Zara Mensah 223162890,female,0.7394,67,NG,Nigeria,0.807
Kofi Mensah 224237357,female,0.9647,45,ZA,South Africa,0.9863
Fatima Suleiman 225340225,male,0.9699,-5,DE,Germany,0.9181
Ngozi Okafor 226059788,female,0.9583,22,KE,Kenya,0.9215
Kofi Mensah 227746437,female,0.6394,75,US,United States,0.6828
Luis Miller 228721075,female,0.8596,28,DE,Germany,0.9084
Amara Adeyemi 229614303,male,0.8349,23,DE,Germany,0.9553
Valentina Kumar 230377044,female,0.6044,57,GH,Ghana,0.6423
Fatima Oliveira 231661082,female,0.737,48,GB,United Kingdom,0.7152
Valentina Kumar 232580564,male,0.6663,43,GH,Ghana,0.7152
Zara Diallo 233677222,female,0.6209,20,KE,Kenya,0.6957
Chidi Miller 234864026,female,0.6213,19,DE,Germany,0.5517
Hassan Miller 235051834,male,0.9061,39,IN,India,0.7572
Kofi Kamara 236068472,female,0.9265,28,IN,India,0.7983
Amara Adeyemi 237409759,female,0.868,68,GB,United Kingdom,0.962
Kofi Adeyemi 238814949,male,0.9702,15,DE,Germany,0.7476
Chidi Kumar 239333248,female,0.9552,40,DE,Germany,0.9522
Amara Oliveira 240799512,female,0.7616,14,DE,Germany,0.6152
Amara Thomas 241021660,female,0.7494,33,US,United States,0.7637
Ngozi Okafor 242373886,male,0.8908,6,US,United States,0.9552
Ngozi Miller 243760494,male,0.9799,38,ZA,South Africa,0.745
Vikram Suleiman 244475518,female,0.801,7,FR,France,0.6199
Valentina Adeyemi 245285610,male,0.778,4,NG,Nigeria,0.9539
Ola Patel 246382800,female,0.9746,22,DE,Germany,0.7588
Vikram Kamara 247407709,male,0.8525,28,DE,Germany,0.8482
Vikram Kamara 248288423,male,0.6984,28,DE,Germany,0.9042
Hassan Patel 249552643,female,0.6399,74,DE,Germany,0.7751
Hassan Miller 250152088,female,0.8559,33,US,United States,0.969
Vikram Diallo 251475983,male,0.8556,3,US,United States,0.9889
Kofi Kamara 252810128,female,0.7398,85,FR,France,0.6821
Valentina Miller 253483541,female,0.6348,83,KE,Kenya,0.7063
Hassan Diallo 254548193,male,0.9469,60,DE,Germany,0.7702
Chidi Thomas 255393042,male,0.9363,40,IN,India,0.6294
Kofi Oliveira 256444405,male,0.9062,62,DE,Germany,0.8931
Hassan Adeyemi 257283153,female,0.6743,67,NG,Nigeria,0.8478
Ola Patel 258461947,female,0.7778,37,NG,Nigeria,0.7789
Zara Okafor 259513608,male,0.6875,29,GB,United Kingdom,0.9833
Hassan Okafor 260014127,male,0.9879,76,FR,France,0.8413
Vikram Oliveira 261618171,female,0.858,53,NG,Nigeria,0.8415
Ola Adeyemi 262341596,female,0.8375,25,GH,Ghana,0.8923
Amara Kamara 263497079,male,0.8619,1,ZA,South Africa,0.949
Kofi Okafor 264836418,female,0.7811,33,IN,India,0.5939
Fatima Oliveira 265273314,male,0.8524,84,NG,Nigeria,0.6946
Chidi Mensah 266609145,female,0.8531,53,GB,United Kingdom,0.9006
Aisha Kamara 267878448,male,0.7481,78,IN,India,0.7078
Hassan Suleiman 268755963,female,0.7226,83,GH,Ghana,0.86
Ngozi Kamara 269638590,male,0.8581,55,DE,Germany,0.6594
Fatima Patel 270290264,female,0.9391,63,KE,Kenya,0.5829
,female,0.7748,73,IN,India,0.9269
Fatima Patel 272302456,female,0.8193,65,DE,Germany,0.838
Aisha Patel 273367531,female,0.638,14,US,United States,0.8399
Zara Kumar 274934771,male,0.6417,52,IN,India,0.8188
Ola Mensah 275907545,male,0.7784,57,DE,Germany,0.8093
Amara Patel 276539972,male,0.6404,16,KE,Kenya,0.8393
Valentina Suleiman 277278796,female,0.6539,17,EG,Egypt,0.8151
Valentina Kamara 278915677,female,0.7347,87,DE,Germany,0.8458
Vikram Diallo 279850161,female,0.8917,86,DE,Germany,0.9202
Valentina Miller 280253466,female,0.6977,87,KE,Kenya,0.9193
Valentina Miller 281603476,female,0.7993,30,ZA,South Africa,0.9006
Fatima Adeyemi 282976756,male,0.6792,32,NG,Nigeria,0.9323
Kofi Mensah 283710221,female,0.6692,57,ZA,South Africa,0.8504
Kofi Patel 284576837,female,0.8768,59,NG,Nigeria,0.6181
Chidi Suleiman 285154386,female,0.6858,67,GH,Ghana,0.6309
Hassan Okafor 286132692,male,0.8069,79,EG,Egypt,0.9885
Vikram Okafor 287983840,female,0.7505,14,US,United States,0.7877
Ola Suleiman 288006784,female,0.6321,65,ZA,South Africa,0.5922
Hassan Mensah 289070012,female,0.9185,82,FR,France,0.5817
Luis Patel 290065667,female,0.7513,52,ZA,South Africa,0.8273
Vikram Oliveira 291074364,female,0.6414,64,GH,Ghana,0.8962
Vikram Kamara 292898690,female,0.715,69,KE,Kenya,0.829
Ola Suleiman 293937934,male,0.602,5,KE,Kenya,0.8125
Vikram Adeyemi 294165079,male,0.6718,20,FR,France,0.8214
Zara Oliveira 295431616,male,0.862,37,FR,France,0.6603
Valentina Oliveira 296158913,female,0.7281,57,US,United States,0.8401
Fatima Thomas 297474160,female,0.6524,46,GB,United Kingdom,0.8725
Valentina Kumar 298886857,male,0.8861,33,KE,Kenya,0.8257
Hassan Mensah 299327724,female,0.9487,69,NG,Nigeria,0.7875
Amara Kamara 300154196,female,0.6041,64,GB,United Kingdom,0.6551
Chidi Miller 301302934,female,0.6853,5,IN,India,0.7646
Ola Kamara 302882516,male,0.7264,83,NG,Nigeria,0.8596
Luis Patel 303837808,female,0.9793,48,GH,Ghana,0.6481
Kofi Mensah 304371287,male,0.851,65,ZA,South Africa,0.6431
Luis Okafor 305215158,female,0.8304,26,IN,India,0.8348
Amara Kamara 306076204,female,0.8015,23,KE,Kenya,0.7284
Amara Mensah 307651695,male,0.9238,28,IN,India,0.8144
Ola Kamara 308410460,female,0.6423,16,GB,United Kingdom,0.639
Amara Suleiman 309887653,male,0.7881,11,FR,France,0.6073
Luis Patel 310577601,female,0.966,29,FR,France,0.7621
Vikram Adeyemi 311070553,male,0.8333,36,ZA,South Africa,0.7892
Amara Miller 312255693,female,0.6416,46,US,United States,0.7375
Vikram Miller 313573181,female,0.7444,22,FR,France,0.7942
Ola Oliveira 314671900,male,0.7983,27,KE,Kenya,0.8959
Chidi Oliveira 315039657,female,0.625,11,DE,Germany,0.6476
Ola Miller 316175666,female,0.6042,56,KE,Kenya,0.9242
Ngozi Kamara 317355700,male,0.9888,11,NG,Nigeria,0.8931
Amara Adeyemi 318440155,female,0.9757,44,FR,France,0.6717
Amara Miller 319695779,male,0.9731,65,US,United States,0.9355
Hassan Adeyemi 320623950,male,0.6453,61,IN,India,0.5797
Ngozi Kumar 321513251,female,0.7556,11,ZA,South Africa,0.8795
Vikram Adeyemi 322288371,female,0.6916,25,ZA,South Africa,0.6565
Ngozi Oliveira 323388521,male,0.9736,69,IN,India,0.9231
Aisha Suleiman 324745536,female,0.6866,50,FR,France,0.8037
Zara Diallo 325536252,female,0.8688,40,GH,Ghana,0.5552
Luis Patel 326344596,female,0.6717,46,DE,Germany,0.7365
Kofi Mensah 327404186,male,0.7686,71,EG,Egypt,0.7176
Aisha Diallo 328012280,female,0.6979,38,US,United States,0.9277
Vikram Patel 329018915,female,0.8185,46,EG,Egypt,0.96
Valentina Thomas 330832611,female,0.7268,45,KE,Kenya,0.7746
Chidi Kumar 331123226,female,0.8388,80,US,United States,0.7281
Kofi Mensah 332812277,female,0.8032,75,IN,India,0.7481
Ola Okafor 333037021,male,0.6249,12,GB,United Kingdom,0.9366
Hassan Mensah 334180683,female,0.6965,29,GB,United Kingdom,0.675
Valentina Suleiman 335156655,female,0.7735,70,FR,France,0.9766
Fatima Miller 336323088,female,0.8105,61,EG,Egypt,0.9041
Fatima Miller 337042203,male,0.9596,88,IN,India,0.9667
Hassan Diallo 338820657,female,0.6975,50,FR,France,0.8646
Luis Adeyemi 339812662,female,0.8897,83,EG,Egypt,0.9059
Aisha Mensah 340921400,female,0.6593,-5,ZA,South Africa,0.9767
Ngozi Thomas 341600712,female,0.9064,39,US,United States,0.7693
Luis Okafor 342172747,female,0.675,23,FR,France,0.9203
Luis Kamara 343991775,male,0.8597,66,IN,India,0.6417
Hassan Adeyemi 344924075,female,0.7406,25,IN,India,0.5729
Valentina Oliveira 345172463,male,0.8266,5,ZA,South Africa,0.8539
Chidi Mensah 346435638,male,0.8514,45,NG,Nigeria,0.8586
Aisha Thomas 347755455,female,0.8825,45,NG,Nigeria,0.6603
Chidi Suleiman 348122306,female,0.9566,76,IN,India,0.794
Zara Patel 349765354,male,0.9342,79,KE,Kenya,0.8914
Chidi Suleiman 350609101,female,0.7598,41,DE,Germany,0.6917
Amara Miller 351027096,female,0.7911,84,NG,Nigeria,0.8245
Luis Patel 352706578,female,0.6237,81,GH,Ghana,0.7955
Zara Adeyemi 353526174,male,0.8828,12,ZA,South Africa,0.7839
Chidi Mensah 354755655,female,0.7789,86,DE,Germany,0.8427
Valentina Patel 355652792,female,0.7608,47,US,United States,0.8286
Amara Okafor 356593328,female,0.8833,0,IN,India,0.9825
Kofi Miller 357352803,male,0.6147,12,EG,Egypt,0.7065
Valentina Oliveira 358806083,female,0.6674,61,GH,Ghana,0.9133
Zara Kamara 359896605,female,0.7624,55,US,United States,0.9318
Aisha Kamara 360734552,male,0.7959,41,DE,Germany,0.6472
Valentina Okafor 361523467,male,0.7311,16,GB,United Kingdom,0.7594
Amara Suleiman 362207390,female,0.8544,50,ZA,South Africa,0.6363
Hassan Okafor 363713886,female,0.6743,44,GB,United Kingdom,0.7016
Chidi Kumar 364726182,male,0.7458,87,ZA,South Africa,0.8834
Valentina Suleiman 365257569,female,0.7838,57,GH,Ghana,0.696
Vikram Mensah 366026249,female,0.9534,74,NG,Nigeria,0.7818
Hassan Diallo 367239038,female,0.6074,13,EG,Egypt,0.9317
Valentina Okafor 368093470,male,0.977,64,KE,Kenya,0.7967
Vikram Okafor 369688805,female,0.9884,30,US,United States,0.9806
Luis Suleiman 370966221,female,0.8562,50,KE,Kenya,0.5886
Kofi Oliveira 371588375,female,0.8115,57,DE,Germany,0.641
Valentina Kumar 372181039,male,0.6264,40,KE,Kenya,0.7845
Zara Kumar 373109666,female,0.964,81,EG,Egypt,0.6705
Kofi Suleiman 374846134,male,0.631,45,ZA,South Africa,0.8931
Vikram Diallo 375262219,male,0.8982,52,ZA,South Africa,0.5566
Zara Diallo 376407336,female,0.7267,88,DE,Germany,0.7513
Aisha Adeyemi 377537556,male,0.6426,66,DE,Germany,0.751
Vikram Thomas 378129694,female,0.9449,50,EG,Egypt,0.8904
Valentina Suleiman 379144157,male,0.9037,23,GH,Ghana,0.9627
Valentina Mensah 380711435,male,0.7264,32,IN,India,0.8354
Kofi Patel 381561817,male,0.8146,48,FR,France,0.5693
Kofi Adeyemi 382070448,female,0.8443,36,EG,Egypt,0.6017
Luis Thomas 383062565,male,0.8297,27,IN,India,0.7593
Kofi Okafor 384682904,male,0.6215,18,NG,Nigeria,0.7036
Aisha Kumar 385738878,male,0.8922,58,EG,Egypt,0.7085
Ola Diallo 386566176,male,0.8709,15,IN,India,0.6707
Ola Oliveira 387931556,female,0.8374,54,IN,India,0.6893
Chidi Okafor 388477264,male,0.7133,90,KE,Kenya,0.6352
Vikram Kumar 389353063,male,0.8498,1,US,United States,0.8536
Hassan Thomas 390976468,male,0.6757,22,DE,Germany,0.9169
Ola Miller 391565053,female,0.9618,52,US,United States,0.5746
Luis Kamara 392516117,male,0.7094,19,US,United States,0.5637
Zara Patel 393492317,male,0.7614,34,US,United States,0.7687
Ola Mensah 394197571,female,0.6097,64,GH,Ghana,0.7624
Valentina Suleiman 395130883,male,0.8826,26,FR,France,0.7521
Zara Patel 396225762,female,0.8252,2,GH,Ghana,0.6873
Ola Patel 397529851,male,0.8183,79,GH,Ghana,0.595
Hassan Okafor 398104155,female,0.6507,6,US,United States,0.7571
Hassan Suleiman 399097508,female,0.7296,39,IN,India,0.6372
Fatima Thomas 400228693,female,0.8669,39,GH,Ghana,0.8625
Chidi Patel 401482355,female,0.7901,58,US,United States,0.5788
Ola Thomas 402446593,female,0.8533,71,GH,Ghana,0.8987
Valentina Adeyemi 403167781,female,0.8212,55,DE,Germany,0.7006
Chidi Oliveira 404187346,male,0.6687,56,US,United States,0.9706
Vikram Diallo 405642827,male,0.8577,18,KE,Kenya,0.7493
Ola Diallo 406880990,female,0.8273,11,GB,United Kingdom,0.8191
Valentina Oliveira 407333356,male,0.9376,36,US,United States,0.6535
Hassan Mensah 408100744,female,0.9276,46,ZA,South Africa,0.6179
Valentina Oliveira 409964483,male,0.9143,82,GH,Ghana,0.9285
